Algorithm,CV Mean R2,Consistency (Std Dev)
random_forest_model,0.9858631628200012,0.001601197837649437
knn_model,0.9831461647265242,0.001157187559342751
decision_trees_model,0.9759889796758939,0.0020332379871302163
gradientBoost_Model,0.8724653653225897,0.0060761036857906875
lasso_model,0.753092849869326,0.011030337377742413
linear_reg_model,0.753090975539971,0.0110410770815219
ridge_model,0.753080936140176,0.010945571972764584
AdaBoost_model,0.505594247729037,0.029408771915504027
elastic_net_model,0.2517455475921459,0.003405500310686775
svr_model,-0.2041227046254131,0.004915893316273684
